#type:		writing
#specification:	Georgian (kat)
#scriptcode:	Geor
#source:	https://unicode.org/udhr/d/udhr_kat.html (last access: 04.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Georgian. The document starts with a preamble („პრეამბულა“). Every subitem within an article has its own line.

<line_1>	პრეამბულა
<line_31>	ყოველ ადამიანს მის უფლება-მოვალეობათა განსაზღვრისათვის და მისთვის წაყენებული სისხლისსამართლებრივი ბრალდების საფუძვლიანობის დასადგენად აქვს, სრული თანასწორობის საფუძველზე, იმის უფლება, რომ მისი საქმე საქვეყნოდ და სამართლიანობის ყველა მოთხოვნის დაცვით გაარჩიოს დამოუკიდებელმა და მიუკერძოებელმა სასამართლომ.
<line_32>	მუხლი 11.
<line_33>	1. ყოველ ადამიანს, რომელსაც ბრალად ედება დანაშაულის ჩადენა, უფლება აქვს ითვლებოდეს უდანაშაულოდ მანამ, სანამ მისი დამნაშავეობა დადგენილი არ იქნება კანონიერი წესისამებრ საჯარო სასამართლო განხილვით, რომლის დროსაც მისთვის უზრუნველყოფილია დაცვის ყველა შესაძლებლობა.
<line_34>	2. არავის არ შეიძლება მსჯავრი დაედოს დანაშაულისათვის რაიმე ისეთი მოქმედების ჩადენის საფუძველზე, ანდა ისეთი უმოქმედობისათვის, რომლებიც ჩადენის დროს არ შეადგენდა დანაშაულს ნაციონალური კანონის ან საერთაშორისო სამართლის მიხედვით. არ შეიძლება აგრეთვე უფრო მძიმე სასჯელის დადება, ვიდრე ის, რომელიც შეიძლებოდა გამოყენებული ყოფილიყო იმ დროს, როცა ჩადენილ იქნა დანაშაული.
<line_35>	მუხლი 12.
<line_36>	არავის მიმართ არ შეიძლება თვითნებური ჩარევა მის პირადსა და ოჯახურ ცხოვრებაში, თვითნებური ხელყოფა მისი საცხოვრებელი ბინის ხელშეუხებლობის, მისი კორესპონდენციის საიდუმლოების,ანდა მისიპატივისა და რეპუტაციისა. ყოველ ადამიანს აქვს უფლება დაცული იყოს კანონის მიერ ასეთი ჩარევისა თუ ხელყოფისაგან.
<line_37>	მუხლი 13.
<line_38>	1. ყოველ ადამიანს აქვს უფლება დაუბრკოლებლად იცვლიდეს ადგილსამყოფელს და ირჩევდეს თავის საცხოვრებელ ადგილს ყოველი სახელმწიფოს ფარგლებში.
<line_39>	2. ყოველ ადამიანს აქვს უფლება დატოვოს ყოველი ქვეყანა, მათ შორის თავისიც, და დაბრუნდეს თავს ქვეყანაში.
<line_40>	მუხლი 14.
<line_41>	1. ყოველ ადამიანს აქვს უფლება ეძიოს დევნისაგან თავშესაფარი სხვა ქვეყნებში და ისარგებლოს ამ თავშესაფრით.
<line_42>	2. ეს უფლება არ შეიძლება გამოყენებულ იქნეს ისეთი დევნის შემთხვევაში, რომლის საფუძველს ნამდვილად წარმოადგენს ჩადენა არაპოლიტიკური დანაშაულისა, ანდა ქმედობისა, რომელიც ეწინააღმდეგება გაერთიანებული ერების ორგანიზაციის მიზნებსა და პრინციპებს.
<line_43>	მუხლი 15.
<line_44>	1. ყოველ ადამიანს აქვს მოქალაქეობის უფლება.
<line_45>	2. არავის არ შეიძლება თვითნებურად ჩამოერთვას მოქალაქეობა ან უფლება თავისი მოქალაქეობის შეცვლისა.
<line_46>	მუხლი 16.
<line_47>	1. სრულასაკოვნებას მიღწეულ კაცებსა და ქალებს უფლება აქვთ რასის, ეროვნების ან რელიგიის ნიშნით რაიმე შეზღუდვის გარეშე, დაქორწინდნენ და ოჯახი დააფუძნონ. ისინი სარგებლობენ ერთნაირი უფლებებით დაქორწინებისას, ქორწინებაში ყოფნის დროს და განქორწინებისას.
<line_48>	2. დაქორწინება შესაძლებელია მხოლოდ ორივე მექორწინე მხარის თავისუფალი და სრული თანხმობისას.
<line_49>	3. ოჯახი არის საზოგადოების ბუნებრივი და ძირითადი უჯრედი და მას უფლება აქვს დაცული იყოს საზოგადოებისა და სახელმწიფოს მხრივ.
<line_50>	მუხლი 17.
<line_51>	1. ყოველ ადამიანს აქვს უფლება ფლობდეს ქონებას როგორც ერთპიროვნულად, ასევე სხვებთან ერთად.
<line_52>	2. არავის არ უნდა ჩამოერთვას ქონება თვითნებურად.
<line_53>	მუხლი 18.
<line_54>	ყოველ ადამიანს აქვს უფლება აზრის, სინდისისა და რელიგიის თავისუფლებისა; ეს უფლება მოიცავს თავისუფლებას თავისი რელიგიის თუ რწმენის შეცვლისა და თავისუფლებას თავისი რელიგიის თუ რწმენის აღმსარებლობისა როგორც ერთპიროვნულად, ასევე სხვებთან ერთად, მოძღვრებაში ღთვისმსახურებაში და რელიგიურ და რიტუალურ წესჩვეულებ ათა შესრულებაში საჯარო თუ კერძო წესით.
<line_55>	მუხლი 19.
<line_56>	ყოველ ადამიანს აქვს უფლება მრწამსის თავისუფლებისა და მისი თავისუფლად გამოთქმისა; ეს უფლება მოიცავს ადამიანის თავისუფლებას დაუბრკოლებლად იქონიოს თავისი მრწამსი და ეძიოს, მიიღოს და გაავრცელოს ინფორმაცია და იდეები ყოველგვარი საშუალებებით და სახელმწიფო საზღვრებისაგან დამოუკიდებლად.
<line_57>	მუხლი 20.
<line_58>	1. ყოველ ადამიანს აქვს უფლება მშვიდობიანი კრებებისა და ასოციაციების თავისუფლებისა.
<line_59>	2. არავის იძულება არ შეიძლება რაიმე ასოციაციაში შესასვლელად.
<line_60>	მუხლი 21.
<line_61>	1. ყოველ ადამიანს აქვს უფლება მონაწილეობდეს თავისი ქვეყნის მართვა-გამგეობაში ან უშუალოდ, ანდა თავისუფლად არჩეულ წარმომადგენელთა მეშვეობით.
<line_62>	2. ყოველ ადამიანს აქვს უფლება თანაბარ საფუძველზე შევიდეს თავისი ქვეყნის სახელმწიფო სამსახურში.
<line_63>	3. ხალხის ნება უნდა იყოს საფუძველი მთავრობის ძალაუფლებისა; ეს ნება უნდა გამოიხატებოდეს პერიოდულ და გაუყალბებელ არჩევნებში, რომლებიც უნდა ტარდებოდეს საყოველთაო და თანასწორი საარჩევნო უფლების პირობებში, ფარული კენჭისყრით, ანდა სხვა თანაბარმნიშვნელოვანი ფორმების მეშვეობით, რომლებიც უზრუნველყოფენ ხმის მიცემის თავისუფლებას.
<line_64>	მუხლი 22.
<line_65>	ყოველ ადამიანს, როგორც საზოგადოების წევრს, აქვს სოციალური უზრუნველყოფის უფლება და უფლება განახორციელოს ეკონომიკურ, სოციალურ და კულტურულ დარგებში, ნაციონალური მეცადინეობისა და საერთაშორისო თანამშრომლობის მეშვეობით და ყოველი სახელმწიფოს სტრუქტურისა და რესურსების შესაბამისად, ის უფლებები, რომლებიც აუცილებელია მისი ღირსების შენარჩუნების თავისუფალი განვითარებისათვის.
<line_66>	მუხლი 23.
<line_67>	1. ყოველ ადამიანს აქვს შრომის, სამუშაოს თავისუფალი არჩევის, შრომის სამართლიანი და ხელსაყრელი პირობების და უმუშევრობისაგან დაცვის უფლება.
<line_68>	2. ყოველ ადამიანს აქვს უფლება თანაბარი შრომის თანაბრად ანაზღაურებისა ყოველგვარი დისკრიმინაციის გარეშე.
<line_69>	3. ყოველ მუშაკს აქვს უფლება იღებდეს სამართლიანსა და დამაკმაყოფილებელ გასამრჯელოს, რომელიც უზრუნველყოფს ღირსეულ ადამიანურ არსებობას თვითონ მისთვის და მისი ოჯახისათვის და რომელსაც, როცა აუცილებელია, ემატება სოციალური უზრუნველყოფის სხვა სახსრები.
<line_70>	4. ყოველ ადამიანს აქვს უფლება შექმნას პროფესიული კავშირები და შევიდეს პროფესიულ კავშირებში თავისი ინტერესების დასაცავად.
<line_71>	მუხლი 24.
<line_72>	ყოველ ადამიანს აქვს დასვენებისა და მოცალეობის უფლება სამუშაო დღის გონივრული შეზღუდვისა და ანაზღაურებული პერიოდული შვებულების უფლების ჩათვლით.
<line_73>	მუხლი 25.
<line_74>	1. ყოველ ადამიანს აქვს უფლება ჰქონდეს ცხოვრების ისეთი დონე, საკვების, ტანსაცმლის, ბინის, სამედიცინო მოვლისა და საჭირო სოციალური მომსახურეობის ჩათვლით, რომელიც აუცილებელია თვითონ მისი და მისი ოჯახის ჯანმრთელობისა და კეთილდღეობის შესანარჩუნებლად, და უფლება უზრუნველყოფილი იყოს უმუშევრობის, ავადმყოფობის, ინვალიდობის, ქვრივობის, მოხუცობულობის ან მისგან დამოუკიდებელ გარემოებათა გამო არსებობის საშუალებათა დაკარგვის სხვა შემთხვევაში.
<line_75>	2. დედობა და ჩვილი ყრმის ასაკი იძლევა განსაკუთრებული მზრუნველობითა და დახმარებით სარგებლობის უფლებას. ყველა ბავშვი, დაბადებული ქორწინებაში თუ ქორწინების გარეშე, უნდა სარგებლობდეს ერთნაირი სოციალური დაცვით.
<line_76>	მუხლი 26.
<line_77>	1. ყოველ ადამიანს აქვს განათლების უფლება. განათლება დაწყებითი და ზოგადი მაინც, უფასო უნდა იყოს. დაწყებითი განათლება უნდა იყოს სავალდებულო. ტექნიკური და პროფესიული განათლება უნდა იყოს ხელმისაწვდომი, უმაღლესი განათლება კი - ერთაირად მისაწვდომი ყველასათვის თითოეულის უნარისამბერ.
<line_78>	2. განათლება მიმართული უნდა იყოს ადამიანის პიროვნების სრული განვითარებისა და ადმიანის უფლებათა ძირითად თავისუფლებათა პატივისცემის გადიდებისაკენ. განათლებამ ხელი უნდა შეუწყოს ყველა ხალხის, ყველა რასობრივი თუ რელიგიური ჯგუფის ურთიერთ გაგებას, შემწყნარებლობასა და მეგობრობას და ხელი უნდა შეუწყოს გაერთიანებული ერების ორგანიზაციის მოღვაწეობას მშვიდობის შესანარჩუნებლად.
<line_79>	3. მშობლებს აქვთ პრიორიტეტის უფლება აირჩიონ რა სახის განათლებაც სურთ თავიანთი მცირეწლოვანი შვილებისათვის.
<line_80>	მუხლი 27.
<line_81>	1. ყოველ ადამიანს აქვს უფლება თავისუფლად მონაწილეობდეს საზოგადოების კულტურულ ცხოვრებაში, ტკბებოდეს ხელოვნებით, მონაწილეობდეს მეცნიერულ პროგრესში და სარგებლობდეს მისი სიკეთით.
<line_82>	2. ყველა ადამიანს აქვს უფლება დაცული იყოს მისი მორალური და მატერიალური ინტერესები, როგორც შედეგი იმ მეცნიერული, ლიტერატურულიდა მხატვრული ნაშრომებისა, რომელთა ავტორს იგი წარმოადგენს.
<line_83>	მუხლი 28.
<line_84	>ყოველ ადამიანს აქვს უფლება ისეთ სოციალურ და საერთაშორისო წესრიგზე, რომლის პირობებშიც შესაძლებელია ამ დეკლარაციაში ჩამოთვლილი უფლებათა და თავისუფლებათა მთლიანად განხორციელება.
<line_85>	მუხლი 29.
<line_86>	1. ყოველ ადამიანს აქვს მოვალეობანი საზოგადოების წინაშე, რადგან მხოლოდ საზოგადოებაშია შესაძლებელი მისი პიროვნების თავისუფალი და სრული განვითარება.
<line_87>	2. თავისი უფლებათა და თავისუფლებათა განხორციელებისას ყოველი ადამიანი უნდა განიცდიდეს მხოლოდ ისეთ შეზღუდვებს, როგორიც კანონითაა დადგენილი მარტოოდენ იმ მიზნით, რათა უზრუნველყოფილ იქნეს სხვების უფლებათა და თავისუფლებათა ჯეროვანი აღიარება და პატივისცემა და დაკმაყოფილდეს ზნეობის, საზოგადოებრივი წესრიგისა და საერთო კეთილდღეობის სამართლიანი მოთხოვნები დემოკრატიულ საზოგადოებაში.
<line_88>	3. ამ უფლებათა და თავისუფლებათა განხორციელება არვითარ შემთხვეავში არ უნდა ეწინააღმდეგებოდეს გაერთიანებული ერების ორგანიზაციის მიზნებსა და პრინციპებს.
<line_89>	მუხლი 30.
<line_90>	ამ დეკლარაციაში არაფერი არ უნდა განიმარტოს, როგორც მინიჭება რომელიმე სახელმწიფოსათვის, პირთა ჯგუფისა თუ ცალკეული პიროვნებისათვის უფლებისა, ეწეოდნენ ისეთ საქმიანობას ან ჩაიდინონ ისეთი მოქმედება, რომლებიც მიმართულია ამ დეკლარაციაში ჩამოთვლილ უფლებათა და თავისუფლებათა მოსასპობად.
