#type:		writing
#specification:	Assyrian Neo-Aramaic (aii)
#scriptcode:	Syrc
#source:	https://unicode.org/udhr/d/udhr_aii.html (last access: 03.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Assyrian. The document starts with a preamble ("ܥܘܬܕܐ"). Every subitem within an article has its own line.

‪<‬line_1>	ܥܘܬܕܐ
‪<‬line_13>	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܙܕܩܐ ܘܚܐܪܘܬܐ ܕܦܝܫܢܐ ܪܫܝܡܐ ܓܘ ܕܐܗܐ ܒܘܕܩܐ ܕܠܐ ܗܟ̰ ܦܘܪܫܘܢܝܐ ܒܝܠ ܬܗܪ ܐܝܟ ܓܢܣܐ ܘܪܢܓܐ ܘܢܫܐ ܘܕܟ݂ܪܐ ܘܠܫܢܐ ܘܬܘܕܝܬܐ. ܘܦܘܠܝܛܝܩܝ ܝܢ ܪܥܝܢܐ ܐܚܪܢܐ. ܐܘܦܙܐ ܦܘܪܫܘܢܝܐ ܓܪܓ ܠܐ ܦܐܥܫ ܡܘܬܒܐ ܒܣܒܒ ܐܟܢܝܘܬܐ ܦܘܠܝܛܝܩܝܬܐ ܝܢ ܬܒ݂ܠܝܬܐ ܕܚܕ ܐܬܪܐ ܝܢ ܐܪܥܐ ܕܚܕ ܦܪܣܘܦܐ ܕܣܝܪܝܠܗ ܒܝܗ.
‪<‬line_14>	ܡܠܘܐܐ 3
‪<‬line_15>	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܝܐ ܘܚܐܪܘܬܐ ܘܫܝܢܐ ܦܪܣܘܦܝܐ.
‪<‬line_16>	ܡܠܘܐܐ 4
‪<‬line_17>	ܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܦܐܫ ܕܒ݂ܝܩܕܐ ܓܘ ܩܘܠܘܬܐ ܝܢ ܚܠܡܬܘܬܐ ܝܢ ܬܘܓܪܘܬܐ ܕܩܠܘܬܐ ܘܚܠܡܬܘܬܐ.
‪<‬line_18>	ܡܠܘܐܐ 5
‪<‬line_19>	ܗܟ̰ ܚܕ ܦܪܣܘܦܐ ܓܪܓ ܠܐ ܦܐܫ ܥܘܓܙܐ ܝܢ ܐܝܩܪܐ ܫܩܝܠܐ ܝܢ ܙܠܝܡܐ ܝܢ ܬܢܒܐ ܝܗܒܐ.
‪<‬line_20>	ܡܠܘܐܐ 6
‪<‬line_21>	ܟܠ ܚܕ ܐܢܫܐ ܓܪܓ ܦܐܫ ܡܘܕܝܐ ܒܝܗ ܐܝܟ ܚܕ ܦܪܣܘܦܐ ܩܡ ܩܐܢܘܢ.
<line_22>	ܡܠܘܐܐ 7
<line_23>	ܟܠ ܐܢܫܐ ܝܠܗ ܒܪܒܪ ܩܡ ܩܐܢܘܢ ܘܓܪܓ ܦܐܫ ܢܛܝܪܐ ܒܝܕ ܩܐܢܘܢ ܕܠܐ ܡܬܘܬܐ ܕܦܘܪܫܘܢܝܐ ܒܠܝܗܝ. ܘܟܠ ܐܢܫܐ ܓܪܓ ܦܝܫܝ ܢܛܝܪܐ ܒܪܒܪ ܩܡ ܟܠ ܦܘܪܫܘܢܝܐ ܕܫܡܛܬܐ ܕܫܪܥܬ ܕܐܗܐ ܒܘܕܩܐ.  
<line_24>	ܡܠܘܐܐ 8
<line_25>	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܦܘܪܥܝܐ ܒܝܕ ܚܕ ܒܝܬ ܕܝܢܐ ܩܐ ܥܒ݂ܕܘܝܬܐ ܠܐ ܐܢܫܝܐ ܕܦܝܫܝ ܘܝܕܐ ܕܪܩܒܠ ܕܙܕܩܐ ܫܪܫܢܝܐ ܕܢܛܝܪܢܐ ܒܝܕ ܩܢܘܢܐ ܫܬܣܝܐ ܝܢ ܒܝܕ ܩܐܢܘܢ.  
<line_26>	ܡܠܘܐܐ 9
<line_27>	ܓܪܓ ܗܟ̰ ܚܕ ܠܐ ܦܐܫ ܕܒ݂ܝܩܐ ܝܢ ܡܘܬܒܐ ܓܘ ܒܝܬ ܐܣܝܪܐ ܝܢ ܛܪܝܕܐ ܡܢ ܐܬܪܐ ܕܠܐ ܩܐܢܘܢ.  
<line_28>	ܡܠܘܐܐ 10
<line_29>	ܟܠ ܚܕ ܐܝܠܗ ܒܪܒܪ ܩܡ ܒܝܬ ܕܝܢܐ ܚܐܪܐ ܘܠܐ ܡܬܓܢܝܢܐ ܓܘ ܩܛܝܬܐ ܕܗܩܘܬܐ ܘܓ̰ܒܘܝܬܐ ܘܟܠ ܓܘܢܚܐ ܕܪܩܘܠܗ.
<line_30>	ܡܠܘܐܐ 11
<line_31>	ܐ. ܟܠ ܚܕ ܕܦܐܫ ܡܬܗܡܐ ܠܫܡܛܬܐ ܕܩܐܢܘܢ ܐܝܬܠܗ ܗܩܘܬܐ ܕܠܐ ܦܐܫ ܚܘܫܒܢܐ ܓܘܢܗܟܪ ܗܠ ܕܡܫܪܪܐ ܩܐ ܝܠܗ ܓܘܢܗܟܪ ܒܝܕ ܩܐܢܘܢ.       
<line_32>	ܒ. ܠܐ ܦܐܫ ܕܝܢܐ ܗܟ̰ ܦܪܣܘܦܐ ܡܢ ܬܡܡܬܐ ܚܕ ܥܒ݂ܕܘܬܐ ܝܢ ܡܚܦܠܬܐ ܡܢ ܬܡܡܬܐ ܚܕ ܥܒ݂ܕܘܬܐ ܐܚܟ̰ܝ ܐܢ ܚܕ ܗܕܚܐ ܡܢܕܝ ܦܐܫ ܚܘܫܒܢܐ ܐܝܟ ܚܕ ܓܘܢܚܐ ܡܐܝܟ ܩܐܢܘܢ ܕܐܬܪܐ ܝܢ ܩܐܢܘܢ ܬܒ݂ܠܝܐ ܒܕܥܢܐ ܒܫܩܠܐܝܠܗ ܫܘܦܐ. ܗܪ ܒܐܝ ܕܥܢܐ ܓܪܓ ܠܐ ܦܐܫ ܡܘܬܒ݂ܐ ܥܠܗ ܚܕ ܬܢܒܐ ܒܘܫ ܝܩܘܪܐ ܡܢ ܕܥܢܐ ܕܩܘܡܬܐ ܕܗܕܚܐ ܡܢܕܝ.
<line_33>	ܡܠܘܐܐ 12
<line_34>	ܓܪܓ ܠܐ ܥܘܪܝ ܓܘ ܚܝܐ ܕܝܠܢܝܐ ܕܚܕ ܦܪܣܘܦܐ ܝܢ ܒܝܬܐ ܝܢ ܐܓܪܝܬܐ ܝܢ ܐܝܩܪܐ ܝܢ ܫܡܐ ܛܒ݂ܐ ܡܫܡܗܘܬܐ. ܟܠ ܚܕ ܦܪܣܘܦܐ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܢܛܝܪܐ ܒܝܕ ܩܐܢܘܢ ܕܪܩܘܒܠ ܗܕܚܐ ܨܦܚܝܬܐ.
<line_35>	ܡܠܘܐܐ 13         
<line_36>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܐܪܘܬܐ ܕܓ̰ܘܓ̰ܬܐ ܡܚܝܬܐ ܓܘ ܬܚܘܒܐ ܕܟܠ ܐܬܪܐ ܘܕܝܪܬܐ ܥܠ ܐܬܪܐ.         
<line_37>	ܒ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܫܘܩܐ ܟܠ ܐܬܪܐ ܒܚܒ݂ܫܐ ܐܬܪܐ ܘܕܝܪܬܐ ܥܠ ܐܬܪܐ.   
<line_38>	ܡܠܘܐܐ 14
<line_39>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܐܪܘܬܐ ܕܛܠܒ ܒܝܬܓܘܣܐ ܦܘܠܝܛܝܩܝܐ.
<line_40>	ܒ. ܚܕ ܗܕܚܐ ܗܩܘܬܐ ܠܝ ܦܝܫܐ ܝܗܒ݂ܠܬܐ ܩܐ ܐܢܫܐ ܕܒ݂ܕܢܐ ܓܢܗܐ ܠܐ ܦܘܠܝܛܝܩܝܐ ܝܢ ܥܒ݂ܕܘܝܬܐܠܐ ܕܒܝܩܐ ܡܢ ܢܝܫܐ ܕܐܡܘܬܐ ܡܚܝܕܐ.
<line_41>	ܡܠܘܐܐ 15      
<line_42>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܪܥܝܬܘܬܐ.
<line_43>	ܒ. ܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܦܐܫ ܡܘܚܪܡܐ ܡܢ ܪܥܝܬܘܬܐ ܝܢ ܡܢ ܫܚܠܦܬܐ ܪܥܝܬܘܬܐ.
<line_44>	ܡܠܘܐܐ 16       
<line_45>	ܐ. ܢܫܐ ܥܡ ܕܟ݂ܪܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܠܓܒܪܐ ܘܫܬܣܬܐ ܕܟܘܠܬ ܕܠܐ ܗܟ̰ ܫܪܛ ܓܢܣܝܐ ܝܢ ܬܘܕܝܬܢܝܐ. ܘܐܝܬܠܗܘܢ ܗܩܘܬܐ ܡܐܝܟ ܐܚܕܕܐ ܒܕܥܢܐ ܕܓܒܪܬܐ ܝܢ ܪܦܝܬܐ.      
<line_46>	ܒ. ܓܒܪܬܐ ܒܕ ܫܩܠܐ  ܫܘܦܐ ܐܝܡܢ ܬܪܘܝ ܓܘܪܢܐ ܣܙܓܪܐ.
<line_47>	ܓ. ܟܘܠܦܬ ܝܠܗ ܒܝܬ ܢܘܪܐ ܕܚܕ ܫܘܬܦܘܬܐ ܘܓܪܓ ܦܝܫܐ ܢܛܪܬܐ ܒܝܕ ܐܢܫܐ ܘܫܘܠܛܢܐ.
<line_48>	ܡܠܘܐܐ 17
<line_49>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܡܪܘܬܐ ܘܕܝܪܬܘܬܐ ܒܢܘܦܫܐ ܝܢ ܥܡ ܐܚܪܢܐ.      
<line_50>	ܒ. ܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܦܐܫ ܚܣܝܟ݂ܐ ܡܢ ܝܪܬܘܬܐ.   
<line_51>	ܡܠܘܐܐ 18
<line_52>	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܬܚܡܢܬܐ ܘܕܐܢܝܬ ܘܬܘܕܝܬܐ. ܐܗܐ ܗܩܘܬܐ ܒܚܒ݂ܫܝܠܐ ܗܩܘܬܐ ܕܫܚܠܦܬܐ ܕܬܘܕܝܬܐ ܝܢ ܗܝܡܢܘܬܐ ܘܚܐܪܘܬܐ ܒܢܘܦܫܐ ܝܢ ܥܡ ܓܘ ܫܘܬܦܘܬܐ ܥܡ ܐܚܪܢܐ.
<line_53>	ܡܠܘܐܐ 19
<line_54>	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܪܥܝܢܐ ܘܗܡܙܡܬܐ. ܐܗܐ ܚܐܪܘܬܐ ܒܚܒ݂ܫܝܠܐ ܚܐܪܘܬܐ ܕܪܥܝܢܐ ܕܠܐ ܘܪܬܐ ܕܓܘܝ ܡܢ ܗܟ̰ ܐܢܫܐ ܘܛܥܘܝܐ ܒܬܪ ܘܩܒܠܬܐ ܡܕܥܢܘܬܐ ܒܟܠ ܐܘܪܚܐ ܕܗܘܝܐ ܕܠܐ ܩܝܕܐ ܕܬܚܘܒܐ.
<line_55>	ܡܠܘܐܐ 20   
<line_56>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܚܐܪܘܬܐ ܠܓ̰ܡܝܥܬܐ ܒܫܠܡܐ ܘܫܪܝܟܘܬܐ.   
<line_57>	ܒ. ܠܗܟ̰ ܚܕ ܓܪܓ ܠܐ ܡܬܒܝ ܚܝܠܐ ܠܫܪܘܟܐ ܓܘ ܚܕ ܟܢܘܫܢܐ.
<line_58>	ܡܠܘܐܐ 21      
<line_59>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܡܫܬܘܦܐ ܓܘ ܫܘܠܛܢܐ ܕܐܬܪܐ ܕܘܙܐ ܕܘܙ ܝܢ ܒܐܘܪܚܐ ܕܩܝܘܡܐ ܡܓܘܒܝܐ ܒܚܐܪܘܬܐ.
<line_60>	ܒ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܝܗܒܐ ܦܪܣܬ ܠܫܩܠܬܐ ܫܘܠܐ ܓܘ ܐܬܪܐ ܕܠܐ ܦܘܪܫܢܝܐ. 
<line_61>	ܓ. ܨܒ݂ܝܢܐ ܕܐܢܫܐ ܝܠܗ ܡܒܘܥܐ ܕܫܘܠܛܢܐ. ܐܗܐ ܨܒ݂ܝܢܐ ܓܪܓ ܦܐܫ ܬܘܡܡܐ ܒܓܒܝܬܐ ܙܒܢܢܐ ܘܫܪܝܪܐ ܕܦܝܫܝ ܡܘܟܡܠܐ ܒܝܗܒ݂ܠܬܐ ܕܩܠܐ ܛܫܝܐܝܬ ܘܒܪܒܪ ܒܝܠ ܟܠ ܚܕ ܝܢ ܐܝܟ ܚܕ ܐܘܪܚܐ ܐܚܪܬܐ ܐܝܟܐ ܚܐܪܘܬܐ ܕܓܒܝܢܐ ܦܝܫܐ ܢܛܪܬܐ.
<line_62>	ܡܠܘܐܐ 22
<line_63>	ܟܠ ܚܕ ܦܪܣܘܦܐ ܐܝܟ ܚܕ ܗܕܡܐ ܓܘ ܫܘܬܦܘܬܐ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܬܪܓ̰ܡܥܘܬܐ ܫܘܬܦܬܐ ܓܘ ܬܡܡܬܐ ܒܐܘܪܚܐ ܥܒ݂ܕܘܬܐ ܐܬܪܝܬܐ ܘܗܝܪܬܐ ܬܒ݂ܠܝܬܐ. ܘܟܠ ܚܕ ܐܝܟ ܡܒܘܥܐ ܕܐܬܪܐ ܐܝܬܠܗ ܗܩܘܬܐ ܠܗܝܪܬܐ ܐܩܢܘܡܝܬܐ ܘܫܘܬܦܝܬܐ ܘܡܪܕܘܬܢܝܬܐ ܕܘܩܐ ܥܡ ܐܝܩܪܐ ܘܡܛܘܪܬܐ ܦܪܣܘܦܝܬܐ.
<line_64>	ܡܠܘܐܐ 23
<line_65>	ܐ. ܟܠ ܚܕ ܐܢܫܐ ܐܝܬܠܗ ܗܩܘܬܐ ܠܦܘܠܚܢܐ ܘܚܐܪܐܝܠܗ ܠܓܒܝܬܐ ܦܘܠܚܢܐ ܓܘ ܚܕ ܐܟܢܝܘܬܐ ܨܦܝ ܘܦܐܫ ܢܛܝܪܐ ܡܢ ܒܛܝܠܘܬܐ.
<line_66>	ܒ. ܟܠ ܚܕ ܕܠܐ ܗܟ̰ ܦܘܪܫܘܢܝܐ ܐܝܬܠܗ ܗܩܘܬܐ ܕܦܐܫ ܦܪܝܐ ܡܐܝܟ ܗܘ ܐܚܪܢܐ.
<line_67>	ܓ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܐܝܓܪܐ ܟܝܢܐ ܡܫܪܘܪܐ ܩܬܘ ܘܩܐ ܟܘܠܦܬܐ ܩܐ ܚܝܐ ܒܐܝܩܪܐ.
<line_68>	ܕ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܫܬܐܣܬܐ ܘܙܒܓܬܐ ܝܡ ܚܘܝܕܐ ܬܘܓܪܝܐ ܠܚܡܝܬܐ ܝܘܬܪܢܐ.
<line_69>	ܡܠܘܐܐ 24
<line_70>ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܡܢܝܚܬܐ ܘܒܘܣܡܐ ܘܒܚܒܫܐ ܡܬܚܡܬܐ ܣܥܬܐ ܕܦܘܠܚܢܐ ܘܝܘܡܐ ܕܡܢܝܚܬܐ ܒܦܘܪܥܢܐ.
<line_71>	ܡܠܘܐܐ 25
<line_72>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܚܕ ܩܕܪܐ ܨܦܝ ܡܢ ܚܘܠܡܢܐ ܒܚܒ݂ܫܐ ܡܟ݂ܘܠܬܐ ܘܠܒ݂ܫܬܐ ܘܒܝܬܐ ܘܕܪܡܢܐ ܘܗܩܘܬܐ ܠܚܬܪܓ̰ܡܘܬܐ ܒܕܥܢܐ ܕܒܛܠܘܬܐ ܘܡܪܥܐ ܘܐܪܡܠܬܐ ܘܣܝܒܘܬܐ ܘܐܗܒܠܛܐ ܐܚܪܢܐ.
<line_73>	ܒ. ܝܡܝܘܬܐ ܘܝܠܕܘܬܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܩܐ ܬܓܒܪܬܐ ܘܗܝܪܬܐ ܡܬܕܠܢܝܬܐ ܘܝܗܠܐ ܒܪܝܐ ܒܐܘܪܚܐ ܕܓܘܪܐ ܝܢ ܠܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܐܝܟ ܐܚܕܕܐ.
<line_74>	ܡܠܘܐܐ 26
<line_75>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܝܘܠܦܢܐ ܘܝܘܠܦܢܐ ܓܪܓ ܗܒ݂ܐ ܕܠܐ ܦܘܪܥܢܐ ܓܘ ܡܕܪܫܬܐ ܫܪܒܝܬܐ ܘܪܗܛܐ ܫܬܐܣܢܐ. ܘܓܪܓ ܟܠ ܐܢܫܐ ܫܩܠ ܝܘܠܦܢܐ ܫܪܒ݂ܝܐ ܘܝܘܠܦܢܐ ܬܩܢܝܩܝܐ ܘܥܠܝܐ ܓܪܓ ܗܒ݂ܐ ܦܬܝܚܐ ܩܐ ܟܠ ܚܕ ܕܠܐ ܦܘܪܫܘܢܝܐ ܒܢܝܐ ܥܠ ܡܨܝܬܐ ܕܐܢܫܐ.
<line_76>	ܒ. ܝܘܠܦܢܐ ܓܪܓ ܗܒ݂ܐ ܪܫܝܡܐ ܠܡܛܘܪܬܐ ܐܢܫܐ ܘܡܩܘܝܬܐ ܡܝܩܪܬܐ ܙܕܩܐ ܐܢܫܝܐ ܘܝܐܪܘܬܐ ܫܪܫܐܢܝܬܐ. ܓܪܓ ܡܪܘܚܐ ܦܪܡܝܬܐ ܘܡܬܩܒܠܢܘܬܐ ܘܪܚܡܘܬܐ ܒܝܠ ܟܠܝ ܐܬܪܘܬܐ ܘܓܢܣܐ ܘܓ̰ܡܥܬܐ ܬܘܕܬܢܝܐ ܘܡܙܝܕ ܥܒ݂ܕܘܝܬܐ ܕܐܡܘܬܐ ܡܚܝܕܐ ܠܚܡܝܬܐ ܕܫܠܡܐ.
<line_77>	ܓ. ܐܒ݂ܗܐ ܐܝܬܠܗܘܢ ܗܩܘܬܐ ܠܓܒܝܬܐ ܝܘܠܦܢܐ ܩܐ ܝܗܠܝܗܝ.   
<line_78>	ܡܠܘܐܐ 27      
<line_79>	ܐ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܫܪܟܬܐ ܓܘ ܚܝܐ ܡܪܕܘܬܢܝܐ ܕܚܕ ܫܘܬܦܘܬܐ ܘܫܩܠܬܐ ܝܘܬܪܢܐ ܡܢ ܐܡܢܐ ܘܫܪܟܬܐ ܓܘ ܡܛܘܪܢܘܬܐ ܥܠܡܝܬܐ ܘܝܘܬܪܐܢܘ.
<line_80>	ܒ. ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܠܢܛܪܬܐ ܘܝܘܬܪܢܐ ܡܢ ܦܘܠܚܢܐ ܛܒ݂ܐ ܘܗܘܠܢܝܐ ܕܦܠܛܝ ܡܢ ܐܡܢܐ ܐܝܟܐ ܗܘ ܝܠܗ ܣܝܘܡܐ.
<line_81>	ܡܠܘܐܐ 28
<line_82>	ܟܠ ܚܕ ܐܝܬܠܗ ܗܩܘܬܐ ܩܐ ܪܝܙܐ ܫܘܬܦܝܐ ܘܬܒ݂ܠܝܐ ܐܝܟܐ ܕܙܕܩܐ ܘܚܐܪܘܬܐ ܡܘܬܚܪܢܐ ܓܘ ܐܗܐ ܒܘܕܩܐ ܦܝܫܝ ܢܛܝܪܐ ܒܚܕ ܫܟܠܐ ܓܘܢܝܐ.
<line_83>	ܡܠܘܐܐ 29   
<line_84>	ܐ. ܟܠ ܚܕ ܐܢܫܐ ܐܝܬܠܗ ܘܓ̰ܒܘܬܐ ܠܦܘܬ ܫܘܬܦܘܬܐ ܐܝܟܐ ܡܛܘܪܢܘܬܐ ܦܪܣܘܦܝܬܐ ܝܠܗ ܡܘܡܟܘܢ.     
<line_85>	ܒ. ܒܕܥܢܐ ܕܡܦܠܚܬܐ ܕܗܩܘܝܬܐ ܘܚܐܪܘܬܐ ܟܠ ܚܕ ܓܪܓ ܡܝܩܪ ܗܩܘܬܐ ܘܚܐܪܘܬܐ ܕܐܚܪܢܐ.   
<line_86>	ܓ. ܐܢܐ ܙܕܩܐ ܘܚܐܪܘܝܬܐ ܓܪܓ ܓܘ ܟܠܝ ܐܗܒܠܛܐ ܠܐ ܦܝܫܝ ܡܘܦܠܚܐ ܒܚܕ ܐܘܪܚܐ ܠܒ݂ܕܪ ܡܢ ܢܝܫܐ ܘܒܢܝܬܐ ܕܐܡܘܬܐ ܡܚܝܕܐ.
<line_87>	ܡܠܘܐܐ 30
<line_88>	ܡܢܕܝܢܐ ܕܠܝܢܐ ܦܝܫܐ ܡܘܬܚܪܐ ܓܘ ܐܗܐ ܒܘܕܩܐ ܓܪܓ ܠܐ ܦܝܫܝ ܡܬܘܪܓ̰ܡܐ ܒܝܕ ܚܕ ܐܬܪܐ ܝܢ ܓ̰ܡܥܬܐ ܝܢ ܦܪܣܘܦܐ ܠܒܪܬܐ ܓܘ ܥܒܘܕܘܝܬܐ ܡܚܪܘܬܐ ܗܟ̰ ܚܕ ܡܢ ܐܢܐ ܗܩܘܝܬܐ ܝܢ ܚܐܪܘܝܬܐ ܡܘܬܚܪܐ ܥܠܠ.
