#type:		writing
#specification:	Bosnian (Latin) (bos)
#scriptcode:	Latn
#source:	https://unicode.org/udhr/d/udhr_bos_latn.html (last access: 25.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Bosnian. The document starts with a preamble („UVOD“). Every subitem within an article has its own line.

<line_1>	UVOD
<line_14>	Svakome su dostupna sva prava i slobode navedene u ovoj Deklaraciji bez razlike bilo koje vrste, kao sto su rasa, boja, spol, jezik, vjera, političko ili drugo mišljenje, narodonosno ili društveno porijeklo, imovina, rođenje ili drugi pravni položaj.
<line_15>	Nadalje, ne smije se činiti bilo kakva razlika na osnovu političkog, pravnog ili međunarodnog položaja zemlje ili područja kojima neka osoba pripada, bilo da je ovo područje nezavisno, pod starateljstvom, nesamoupravno, ili da se nalazi ma pod kojim drugim ograničenjima suverenosti.
<line_16>	Član 3.
<line_17>	Svako ima pravo na život, slobodu i osobnu sigurnost.
<line_18>	Član 4.
<line_19>	Niko ne smije biti držan u ropstvu ili ropskom odnosu; ropstvo i trgovina robljem zabranjuje se u svim njihovim oblicima.
<line_20>	Član 5.
<line_21>	Niko ne smije biti podvrgnut mučenju ili okrutnom, nečovječnom ili ponižavajućem postupku ili kažnjavanju.
<line_22>	Član 6.
<line_23>	Svako ima pravo da se svagdje pred zakonom priznaje kao osoba.
<line_24>	Član 7.
<line_25>	Svi su pred zakonom jednaki i imaju pravo, bez ikakve diskriminacije, na jednaku zaštitu zakona. Svi imaju pravo na jednaku zaštitu protiv bilo kakve diskriminacije kojom se krši ova Deklaracija i protiv svakog podsticanja na takvu diskriminaciju.
<line_26>	Član 8.
<line_27>	Svako ima pravo na djelotvorna pravna sredstva putem nadležnih nacionalnih sudova zbog djela kojima se krše osnovna prava koja su mu dodijeljena u Ustavu ili zakonu.
<line_28>	Član 9.
<line_29>	Niko ne smije biti podvrgnut samovoljnom hapšenju, zatvoru ili izgonu.
<line_30>	Član 10.
<line_31>	Svako ima pravo da ga u punoj jednakosti pošteno i javno sasluša nezavisan i nepristran sud radi utvrđivanja njegovih prava i obaveza i bilo kakve krivične optužbe protiv njega.
<line_32>	Član 11.
<line_33>	1. Svako ko je optužen za krivično djelo ima pravo da se smatra nevinim dok se na temelju zakona krivnja ne dokaže na javnom pretresu na kojem je imao sva jamstva potrebna za svoju odbranu,
<line_34>	2. Niko se ne smije smatrati krivim za krivično djelo na temelju bilo kakvog čina ili propusta koji nisu predstavljali krivično djelo u smislu nacionalnog ili međunarodnog prava u vrijeme kada su oni bili počinjeni. Isto tako ne smije se izricati teža kazna od one koja se mogla primjeniti kada je krivično djelo počinjeno.
<line_35>	Član 12.
<line_36>	Niko na smije biti izvrgnut samovoljnom miješanju u njegov privatni zivot, obitelj, dom ili prepisku, niti napadajima na njegovu čast i ugled. Svako ima pravo na zaštitu zakona protiv ovakvom miješanju ili napadu.
<line_37>	Član 13.
<line_38>	1. Svako ima pravo na slobodu kretanja i stanovanja unutar granice svake države.
<line_39>	2. Svako ima pravo da napusti bilo koju zemlju, uključujući svoju vlastitu i da se vrati u svoju zemlju.
<line_40>	Član 14.
<line_41>	1. Svako ima pravo da traži i uživa u drugim zemljama utočište pred progonima.
<line_42>	2. Na to se pravno ne može pozivati u slučaju progona koji su zaista izazvani nepolitičkim zločinima ili djelima protivnim ciljevima i načelima Ujedinjenih nacija.
<line_43>	Član 15.
<line_44>	1. Svako ima pravo na državljanstvo.
<line_45>	2. Niko ne smije samovoljno biti lišen svojeg državljanstva niti mu se smije odreći pravo da promijeni svoje državljanstvo.
<line_46>	Član 16.
<line_47>	1. Punoljetni muškarci i žene bez ikakvih ograničenja u pogledu rase, državljanstva ili vjere, imaju pravo da sklope brak i da osnuju obitelj. Oni su ravnopravni prilikom sklapanja braka, za vrijeme njegova trajanja i prilikom njegova razvoda.
<line_48>	2. Brak se sklapa samo uz slobodan i potpun pristanak onih koji namjeravaju stupiti u brak.
<line_49>	3. Obitelj je prirodna i osnovna društvena jedinica i ima pravo na zaštitu društva i države.
<line_50>	Član 17.
<line_51>	1. Svako ima pravo da sam posjeduje imovinu, a isto tako da je posjeduje u zajednici s drugima.
<line_52>	2. Niko ne smije samovoljno biti lišen svoje imovine.
<line_53>	Član 18.
<line_54>	Svako ima pravo na slobodu misli, savjesti i vjere; to pravo uključuje slobodu promijeniti svoju vjeru ili vjerovanje i slobodu da se, bilo pojedinačno ili u zajednici s drugima, javno ili privatno, ispoljava vjera ili vjerovanje učenjem, vršenjem, obredima i održavanjem.
<line_55>	Član 19.
<line_56>	Svako ima pravo na slobodu mišljenja i izražavanja; ovo pravo uključuje slobodu mišljenja bez tuđeg mišljenja a isto tako i traženje, primanje i saopćavanje obavještenja i ideja bilo kojim sredstvima i bez obzira na granice.
<line_57>	Član 20.
<line_58>	1. Svako ima pravo na slobodu mirnog okupljanja i udruživanja.
<line_59>	2. Niko ne može biti primoran da pripada nekom udruženju.
<line_60>	Član 21.
<line_61>	1. Svako ima pravo da sudjeluje u upravi svoje zemlje, neposredno ili preko slobodno izabranih predstavnika.
<line_62>	2. Svako ima pravo na jednak pristup javnim službama u svojoj zemlji.
<line_63>	3. Volja naroda treba da bude osnova vladine vlasti; ta volja treba da se izražava u povremenim i istinskim izborima, koji treba da se provode općim i jednakim pravom glasa, tajnim glasanjem ili odgovarajućim postupcima slobodnog glasanja.
<line_64>	Član 22.
<line_65>	Svako, kao član drustva, ima pravo na socijalno osiguranje i pravo da ostvaruje ekonomska, socijalna i kulturna prava neophodna za svoje dostojanstvo i za razvoj svoje ličnosti putem državne pomoći i međunarodne suradnje a u skladu s organizacijom i sredstvima svake države.
<line_66>	Član 23.
<line_67>	1. Svako ima pravo na rad, na slobodan izbor zaposlenja, na pravične i povoljne uvjete rada i na zaštitu od nezaposlenosti.
<line_68>	2. Svako, bez razlike, ima pravo na jednaku plaću za jednaki rad.
<line_69>	3. Svako ko radi ima pravo na pravičnu i povoljnu naplatu koja njemu i njegovoj obitelji osigurava čovjeka dostojni opstanak i koja se, po potrebi, dopunjuje drugim sredstvima socijalne zaštite.
<line_70>	4. Svako ima pravo da radi zaštite svojih interesa obrazuje sindikate i da stupa u njih.
<line_71>	Član 24.
<line_72>	Svako ima pravo na odmor i dokolicu uključujući razumno ograničenje radnih sati i periodične plaćene praznike.
<line_73>	Član 25.
<line_74>	1. Svako ima pravo na životni standard koji odgovara zdravlju i dobrobiti njega samoga i njegove obitelji, uključujući hranu, odjeću, stan i liječničku njegu i potrebne socijalne usluge, kao i pravo na osiguranje za slučaj nezaposlenosti, bolesti, nesposobnosti, udovišta, starosti ili drugog pomanjkanja sredstava za život u prilikama koje su izvan njegove moći.
<line_75>	2. Majka i dijete imaju pravo na naročitu brigu i pomoć. Sva djeca, bilo rođena u braku ili izvan njega, treba da uživaju istu socijalnu zaštitu.
<line_76>	Član 26.
<line_77>	1. Svako ima pravo na obrazovanje. Obrazovanje treba da bude besplatno, bar u osnovnim i nižim stupnjevima. Osnovno obrazovanje treba da bude obavezno. Tehničko i stručno obrazovanje treba da bude općenito pristupačno, a i više obrazovanje treba takođe da bude svima pristupačno na temelju sposobnosti.
<line_78>	2. Obrazovanje treba da bude usmjereno na puni razvitak ljudske ličnosti i na učvršćavanje poštivanja čovjekovih prava i osnovnih sloboda. Ono treba da unapređuje razumijevanje, snošljivost i prijateljstvo medju svim narodima, rasnim i vjerskim skupinama, i treba da unapređuje djelatnost Ujedinjenih nacija na održavanju mira.
<line_79>	3. Roditelji imaju prvenstveno pravo da biraju vstu obrazovanja za svoju djecu.
<line_80>	Član 27.
<line_81>	1. Svako ima pravo da slobodno sudjeluje u kulturnom životu zajednice, da uživa u umjetnosti i da učestvuje u znanstvenom napretku i u njegovim koristima.
<line_82>	2. Svako ima pravo na zaštitu moralnih i materijalnih interesa koji proistiću ma od kojeg znanstvenog, književnog ili umjetničkog proizvoda kojemu je autor.
<line_83>	Član 28.
<line_84>	Svako ima pravo na društveni i međunarodni poredak u kojem prava i slobode izložene u ovoj Deklaraciji mogu biti potpuno ostvarene.
<line_85>	Član 29.
<line_86>	1. Svako ima obaveze prema zajednici iz koje je jedino moguće slobodno i puno razvijanje njegove ličnosti.
<line_87>	2. U vršenju svojih prava i sloboda svatko treba da bude podvrgnut samo onim ograničenjima koja su određena zakonom isključivo u cilju osiguranja dužnog priznanja i poštivanja prava i sloboda drugih i u cilju zadovoljenja pravičnih zahtjeva morala, javnog poretka i općeg blagostanja u demokratskom društvu.
<line_88>	3. Ta prava i slobode ni u kojem slučaju ne mogu se primjenjivati protivno ciljevima i načelima Ujedinjenih nacija.
<line_89>	Član 30.
<line_90>	Ništa se u ovoj Deklaraciji ne može tumačiti kao pravo ma koje države, skupine ili osobe da sudjeluje u bilo kojoj djelatnosti ili da vrši bilo kakvu djelatnost usmjerenu na uništavanje bilo kojih ovdje izloženih prava i sloboda.
