#type:		writing
#specification:	Hebrew (heb)
#scriptcode: 	Hebr
#source:	https://unicode.org/udhr/d/udhr_heb.html (last access: 04.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Hebrew.THe document starts with a preamble ("הקדמה"). Every subitem within an article has its own line.


‪<‬line_1>	הקדמה
<line_35>	לא יהא אדם נתון להתערבות שרירותית בחייו הפרטיים, במשפחתו, במעונו, בחליפת מכתבים שלו ולא לפגיעה בכבודו או בשמו הפוב. כל אדם זכאי להגנת החוק בפני התערבות או פגיעה באלה.
<line_36>	סעיף יג.
<line_37>	1. כל אדם זכאי לחופש תנועה ומגורים בתוך כל מדיוה.
<line_38>	2. כל אדם זכאי לעזוב כל ארץ, לרבות ארצו, ולחזור אל ארצו.
<line_39>	סעיף יד.
<line_40>	1. כל אדם זכאי לבקש ולמצוא בארצות אחרות מקלט מרדיפות.
<line_41>	2. אין להסתמך על זכות זו במקרה של האשמה פלילית שמקורה האמיתי במעשי פשע לא-מדיניים או במעשים שהם בניגוד למטרותיהן ולעקרונותיהן של האומות המאוחדות.
<line_42>	סעיף טו.
<line_43>	1. כל אדם זכאי לאזרחות.
<line_44>	2. לא תישלל מאדם אזרחותו דרך שרירות ולא תקופח דרך שרירות זכותו להחליף את אזרחותו.
<line_45>	סעיף טז.
<line_46>	1. כל איש ואשה שהגיעו לפרקם רשאים לבוא בברית הנשואין ולהקים משפחה, ללא כל הגבלה מטעמי גזע, אזרחות או דת. הם זכאים לזכויות שוות במעשה הנשואין בתקופת הנשואין ובשעת ביפולם.       
<line_47>	2. נישואין יערכו רק מתוך הסמה חופשית ומלאה של בני הזוג המיועדים.    
<line_48>	3. המשפחה היא היחידה הטבעית והבסיסית של החברה וזכאית להגנה של החברה והמדינה.
<line_49>	סעיף יז.     
<line_50>	1. כל אדם זכאי להיות בעל קנין, בין לבדו ובין ביחד עם אחרים.
<line_51>	2. לא יישלל מאדם קנינו דרך שרירות.
<line_52>	סעיף יח.
<line_53>	כל אדם זכאי לחירות המחשבה, המצפון והדת; חירות זו כוללת את הזכות להמיר את דתו או את אמונתו ולתת בטוי לדתו או לאמונתו, לבדו או כציבור, ברשות היחיד או ברשות הרבים, דרך הוראה, נוהג, פולחן ושמירת מצוות.
<line_54>	סעיף יט.
<line_55>	כל אדם זכאי לחירות הדעה והבטוי, לרבות החירות להחיק בדעות ללא כל הפרעה, ולבקש ידיעות ודעות, ולקבלן ולמסרן בכל הדרכים וללא סייגי גבולות.
<line_56>	סעיף ב.
<line_57>	1. כל אדם זכאי לחירות ההתאספות וההתאגדות בדרכי שלום.
<line_58>	2. לא יכפו על אדם השתייכות לאגודה.
<line_59>	סעיף כא.
<line_60>	1. כל אדם זכאי להשתתף בהנהלת ארצו, בין השתתפות ישירה ובין דרך נציגות שובחרה בבחירות חופשיות.
<line_61>	2. כל אדם זכאי לשויון בכניסן בכניסה לשירות במנגנון של ארצו.
<line_62>	3. רצון העם הוא היסוד לסמכותה של הממשלה. העם ידיע את רצונו בבחירות כשרות הנשנות לעיתים מזזמנות, לפי זכות בחירה כללית ושווה ובהצבעה חשאית, או לפי סדר של בחירה חופשית כיוצא בזש.
<line_63>	סעיף כב.
<line_64>	כל אדם, כחבר החברה, זכאי לבטחון סוציאלי וזכאי לתבוע שהזכויות הכלכליות הסוציאליות והתרבותיות, שהן חיוניות לכבודו כאדם ולהתפתחות החופשית של אישיותו, יובטחו במשמץ לאומי ובשיתוף פעולה בינלאומי בהתאם לארגונה ולאוצרותיה של המדינה.
<line_65>	סעיף כג.
<line_66>	1. כל אדם זכאי לעבודה, לבחירה חופשית של עבודתו, לתנאי עבודה צודקים והוגנים ולהגנה מפני אבטלה.
<line_67>	2. כל אדם, ללא כל הפכיה, זכאי לשכר שווה בעד עבודה שווה.
<line_68>	3. כל עובד זכאי לשכר צודק והוגן, אשר יבטיח לו ולבני ביתו קיום הראוי לכבוד האדם שיושלם, אם יהיה צורך בכך, על ידי אמצעים אחרים של הגנה סוציאלית.
<line_69>	4. כל אדם זכאי לאגד אגודות מקצועיות ולהצטרף לאגודות כדי להגן על עניניו. 
<line_70>	סעיף כד.
<line_71>	כל אדם זכאי למנוחה ולפנאי, ובכלל זש הגבלת שעות העבודה במידה המתקבלת על הדעת וחופשה בשכר לעיתים מזומנות.
<line_72>	סעיף כה.
<line_73>	1. כל אדם זכאי לרמת חיים נאותה לבריאותם ולרווחתם, שלו ושל בני ביתנ. לרבות מזון, לבוש, שיכון, טיפול רפואי, שירותים סוציאליים כדרוש וזכות לבטחון במקרה של אבטלה, מחלה, אי-כושר לעבודה, אלמון, זקנה או מחסור אחר בנסיבות שאינן תלויות בו.
<line_73>	2. אמהות וילדות זכאיות לטיפול מיוחד ולסיוע. כל הילדים, בין שנולדו בנשואין או שלא בנשואין, יהנו במידה שווה מהגנה סוציאלית.
<line_74>	סעיף כו.
<line_75>	1. כל אדם זכאי לחינוך. החינוך ינתן חינם, לפחות בשלבים הראשונים והיסודיים; החינוך בשלב הראשון הוא חובה. החינוך הטכני והמקצועי יהיה מצוי לכל, והחינוך הגבוה יהיה פתוח לכל במידה שווה שעל יסוד הכשרון.
<line_76>	2. החינוך יכוון לפיתוחה המלא של האישיות ולטיפוח יחס כבוד לזכויות האדם ולחירויות היסודיות; החינוך יטפח הבנה, סובלנות וידידות בין כל העמים והקיבוצים הדתיים והגזעיים, ויסייע למאמץ של האומות המאוחדות לקיים את השלום.
<line_77>	3. להורים זכות בכורה לבחור את דרך החינוך ליליהם.
<line_78>	סעיף כז.
<line_79>	1. אדם זכאי להשתתף תוך חירות בחייו התרבותיים של הציבור, ליהנות מהאמנויות ולהיות שותף בהתקדמות המדע ובברכתו.      
<line_80>	2. כל אדם זכאי לוגנת האינטרסים המוסריים והחמריים הכרוכים בכל יצירה מדעית, ספרותית, או אמנותית שהיא פרי רוחו.
<line_81>	סעיף כח.
<line_82>	כל אדם זכאי למשטר סוציאלי ובינלאומי, שבו אפשר יהיה לקיים במלואן את הזכויות והחרויות אשר נקבעו בהכזש זו.
<line_83>	סעיף כט.
<line_84>	1. כל אדם יש לו חובות כלפי הכלל, כי רק בתוך הכלל נתונה לו האפשרות להתפתחות החופשית והמלאה של אישיותו.
<line_85>	2. לא יוגבל אדם בזכויותיו ובחירויותיו, פרט לאותן ההגבלות שנקבעו בחוק על מנת להבטיח את ההכרה בזכויות ובחירויות של הזולת ואת יחס הכבוד אליהן, וכן את מילוי הדרישות הצודקות של המוסר, של הסדר הציבורי ושל טובת הכלל בתוך חברה דמוקרטית.
<line_86>	3. לעולם לא ישתמשו בזכויות ובחירויות אלה בניגוד למטרותיהן ולעקרונותיהן של האומות המאוחדות.
<line_87>	סעיף ל.
<line_88>	שום דבר בהכרזש זו לא יתפרש כאילו הוא בא להקנות למדינה, לציבור או ליחיד כל זכות שהיא לעסוק בפעולה או לבצע מעשה שתכליתם לקפח כל זכות או חירות מן הזכויות והחירויות הקבועות בהכרש זאת.
