#type:		writing
#specification:	Esperanto (epo)
#scriptcode:	Latn
#source:	https://unicode.org/udhr/d/udhr_epo.html (last access: 19.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Luganda. "Artikolo" translates as "Article" and the document starts with a preamble ("Antaŭkonsideroj"). Every subitem within an article has its own line. 

<line_1>	Antaŭkonsideroj
<line_28>	Ĉiu rajtas ricevi de la kompetentaj naciaj tribunaloj efikan riparon pro agoj, kiuj kontraŭas la fundamentajn rajtojn, kiujn li havas laŭ la konstitucio aŭ la leĝoj.
<line_29>	Artikolo 9
<line_30>	Neniu suferu arbitrajn areston, malliberigon aŭ ekzilon.
<line_31>	Artikolo 10
<line_32>	Ĉiu en plena egaleco rajtas je justa kaj publika proceso antaŭ sendependa kaj senpartia tribunalo, por prijuĝo de liaj rajtoj kaj devoj kaj de kiu ajn kriminala akuzo kontraŭ li.
<line_33>	Artikolo 11
<line_34>	1. Ĉiu akuzita pro punebla faro rajtas, ke oni supozu lin senkulpa, ĝis oni pruvos laŭleĝe lian kulpon en publika proceso, en kiu li ricevis ĉiujn garantiojn necesajn por sia defendo.
<line_35>	2. Neniu estu konsiderata krimkulpa pro kia ajn ago aŭ neago, kiu ne konsistigis puneblan faron, laŭ nacia aŭ internacia juro, en la tempo, kiam ĝi estis farita. Same tiel, ne estu aljuĝita pli severa puno ol tiu, kiu estis aplikebla en la tempo, kiam la punebla faro estis plenumita.
<line_36>	Artikolo 12
<line_37>	Neniu suferu arbitrajn intervenojn en sian privatecon, familion, hejmon aŭ korespondadon, nek atakojn kontraŭ sia honoro aŭ reputacio. Ĉiu rajtas ricevi juran protekton kontraŭ tiaj intervenoj aŭ atakoj.
<line_38>	Artikolo 13
<line_39>	1. Ĉiu havas la rajton libere moviĝi kaj loĝi interne de la limoj de kiu ajn ŝtato.
<line_40>	2. Ĉiu rajtas eliri el kiu ajn lando, inkluzive la propran, kaj reveni en sian landon.
<line_41>	Artikolo 14
<line_42>	1. Ĉiu rajtas peti kaj ricevi en aliaj landoj azilon kontraŭ persekuto.
<line_43>	2. Tiu rajto ne estas alvokebla en kazoj de persekutaj akuzoj malfalse levitaj pro ne-politikaj krimoj aŭ pro agoj kontraŭaj al la celoj kaj principoj de Unuiĝintaj Nacioj.
<line_44>	Artikolo 15
<line_45>	1. Ĉiu rajtas havi ŝtatanecon.
<line_46>	2. Al neniu estu arbitre forprenita la ŝtataneco, nek rifuzita la rajto ŝanĝi sian ŝtatanecon.
<line_47>	Artikolo 16
<line_48>	1. Plenaĝaj viroj kaj virinoj, sen ia ajn limigo pro raso, nacieco aŭ religio, rajtas edziĝi kaj fondi familion. Iliaj rajtoj estas egalaj koncerne la geedziĝon, dum la geedzeco kaj koncerne eksedziĝon.
<line_49>	2. Geedziĝo okazu sole laŭ libera kaj plena konsento de la geedziĝontoj.
<line_50>	3. La familio estas la natura kaj fundamenta grupunuo de la socio, kaj ĝi rajtas ricevi protekton de la socio kaj de la Ŝtato.
<line_51>	Artikolo 17
<line_52>	1. Ĉiu rajtas proprieti havaĵon, kaj sola kaj en asociiĝo kun aliaj.
<line_53>	2. Al neniu estu arbitre forprenita lia proprieto.
<line_54>	Artikolo 18
<line_55>	Ĉiu havas la rajton je libereco de penso, konscienco kaj religio; tiu ĉi rajto inkluzivas la liberecon ŝanĝi sian religion aŭ kredon, kaj liberecon manifesti, ĉu sola ĉu kune kun aliaj, ĉu publike ĉu private, sian religion aŭ kredon per instruado, praktikado, adorado kaj observado.
<line_56>	Artikolo 19
<line_57>	Ĉiu havas la rajton je libereco de opinio kaj esprimado; ĉi tiu rajto inkluzivas la liberecon havi opiniojn sen intervenoj de aliaj, kaj la rajton peti, ricevi kaj havigi informojn kaj ideojn per kiu ajn rimedo kaj senkonsidere pri la landlimoj.
<line_58>	Artikolo 20
<line_59>	1. Ĉiu havas la rajton je libereco de pacema kunvenado kaj asociiĝo.
<line_60>	2. Neniu estu devigita aparteni al asocio.
<line_61>	Artikolo 21
<line_62>	1. Ĉiu homo rajtas partopreni la regadon de sia lando, aŭ rekte aŭ pere de libere elektitaj reprezentantoj.
<line_63>	2. Ĉiu rajtas je egala aliro al publika servo en sia lando.
<line_64>	3. La volo de la popolo estu la bazo de la aŭtoritato de la registaro; tiu volo estu esprimata per regulaj kaj aŭtentikaj elektoj, kiuj okazu per universala kaj egala balotrajto, kaj per sekreta voĉdono aŭ ekvivalentaj liberaj voĉdonaj proceduroj.
<line_65>	Artikolo 22
<line_66>	Ĉiu, kiel membro de la socio, havas rajton je socia sekureco kaj povas postuli la realigon, per naciaj klopodoj kaj internacia kunlaboro, kaj konforme al la organizo kaj disponeblaj rimedoj de ĉiu Ŝtato, de tiuj ekonomiaj, sociaj kaj kulturaj rajtoj, kiuj estas nepre necesaj por lia digno kaj por la libera disvolviĝo de lia personeco.
<line_67>	Artikolo 23
<line_68>	1. Ĉiu havas rajton je laboro, je libera elekto de sia okupo, je justaj kaj favoraj laborkondiĉoj kaj je protekto kontraŭ senlaboreco.
<line_69>	2. Ĉiu, sen ia ajn diskriminacio, rajtas ricevi egalan salajron pro egala laboro.
<line_70>	3. Ĉiu, kiu laboras, rajtas ricevi justan kaj favoran kompenson, kiu certigu por li mem kaj por lia familio ekziston konforman al homa digno, kaj kiun suplementu, laŭnecese, aliaj rimedoj de socia protekto.
<line_71>	4. Ĉiu rajtas formi kaj aliĝi sindikatojn por protekto de siaj interesoj.
<line_72>	Artikolo 24
<line_73>	Ĉiu havas rajton je ripozo kaj libertempo, inkluzive racian limigon de la laborhoroj kaj periodajn feriojn kun salajro.
<line_74>	Artikolo 25
<line_75>	1. Ĉiu havas rajton je vivnivelo adekvata por la sano kaj bonfarto de si mem kaj de sia familio, inkluzive de nutraĵo, vestaĵoj, loĝejo kaj medicina prizorgo kaj necesaj sociaj servoj, kaj la rajton je sekureco en okazo de senlaboreco, malsano, malkapablo, vidvineco, maljuneco aŭ alia perdo de la vivrimedoj pro cirkonstancoj ekster sia povo.
<line_76>	2. Patrineco kaj infaneco rajtigas al specialaj prizorgoj kaj helpo. Ĉiuj infanoj, egale ĉu ili naskiĝis en aŭ ekster geedzeco, ricevu saman socian protekton.
<line_77>	Artikolo 26
<line_78>	1. Ĉiu havas rajton je edukiĝo. La edukado estu senpaga, almenaŭ en la elementa kaj fundamenta stadioj. La elementa edukado estu deviga. La teknika kaj porprofesia edukado estu ĝenerale akirebla, kaj pli alta edukado estu egale akirebla por ĉiuj laŭ ties meritoj.
<line_79>	2. Edukado celu la plenan disvolvon de la homa personeco kaj plifortigon de la respekto al la homaj rajtoj kaj fundamentaj liberecoj. Ĝi kreskigu komprenon, toleron kaj amikecon inter ĉiuj nacioj, rasaj aŭ religiaj grupoj, kaj antaŭenigu la agadon de Unuiĝintaj Nacioj por konservo de paco.
<line_80>	3. Gepatroj havas unuavican rajton elekti la specon de la edukado, kiun ricevu iliaj infanoj.
<line_81>	Artikolo 27
<line_82>	1. Ĉiu rajtas libere partopreni la kulturan vivon de la komunumo, ĝui la artojn kaj partopreni sciencan progreson kaj ĝiajn fruktojn.
<line_83>	2. Ĉiu havas rajton je protekto de la moralaj kaj materialaj interesoj rezultantaj el eventualaj sciencaj, literaturaj aŭ artaj produktaĵoj, kiujn li aŭtoris.
<line_84>	Artikolo 28
<line_85>	Ĉiu havas rajton je socia kaj internacia organizo, en kiu la rajtoj kaj liberecoj difinitaj en ĉi tiu Deklaracio povas esti plene realigitaj.
<line_86>	Artikolo 29
<line_87>	1. Ĉiu havas devojn al la komunumo, en kiu, sole, estas ebla la libera kaj plena disvolviĝo de lia personeco.
<line_88>	2. En la uzado de siaj rajtoj kaj liberecoj, ĉiu estu subigita sole al tiuj limigoj, kiuj estas jure difinitaj ekskluzive kun la celo certigi adekvatan rekonon kaj respekton por la rajtoj kaj liberecoj de aliaj kaj por konformiĝi al justaj postuloj de moralo, publika ordo kaj ĝenerala bonfarto en demokrata socio.
<line_89>	3. Tiuj ĉi rajtoj kaj liberecoj estas en neniu okazo efektivigeblaj kontraŭe al la celoj kaj principoj de Unuiĝintaj Nacioj.
<line_90>	Artikolo 30
<line_91>	Nenio en ĉi tiu Deklaracio estu interpretita kiel implico, ke iu ajn Ŝtato, grupo aŭ persono iel ajn rajtas entrepreni ian ajn agadon aŭ plenumi ian ajn agon, kiu celus detrui kiun ajn el la rajtoj kaj liberecoj ĉi-ene difinitaj.
