file,iso,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
kum-x-bible.csv,kum,50000,10.9239537476,11.0653811425,11.2443563585,11.4936655913,10.9240285486,10.9405696321,11.1719622688,11.0531225129,10.9500997475,PBC
qve-x-bible.csv,qve,50000,10.9281144517,11.0792944651,11.2740693594,11.5407777185,10.9281903788,10.9449838017,11.2392587803,11.0699403456,10.9536735181,PBC
tab-x-bible.csv,tab,50000,10.9242608739,11.0526030247,11.2075402255,11.4313310169,10.9243331508,10.9403127107,11.1532422209,11.0340711139,10.9546980209,PBC
cpb-x-bible.csv,cpb,50000,10.9643049598,11.1404868782,11.376479772,11.6853179185,10.9643838103,10.9818283746,11.3185104523,11.1405092728,10.9861151129,PBC
hch-x-bible.csv,hch,50000,10.9715214548,11.1464049477,11.3797915524,11.6859804348,10.9716000988,10.9889985374,11.3246274418,11.1456295538,10.9913302924,PBC
cpu-x-bible.csv,cpu,50000,10.9781249894,11.1584185886,11.3996803321,11.7141981156,10.9782039792,10.9956801647,11.3555998753,11.1588078778,10.9998319634,PBC
heb-x-bible-newworld.csv,heb,50000,11.0057832657,11.1435606421,11.3044377905,11.5379835822,11.005854634,11.0216362751,11.2636201345,11.1203039024,11.0321750976,PBC
qul-x-bible-2006.csv,qul,50000,11.0142031908,11.1723369942,11.3695914386,11.6410704663,11.0142781351,11.0308550273,11.325838317,11.1584436177,11.0393502725,PBC
guz-x-bible.csv,guz,50000,11.0048480265,11.1476315547,11.325394584,11.5735026486,11.0049223655,11.0213598877,11.2460600583,11.1335346587,11.0461639706,PBC
nyn-x-bible.csv,nyn,50000,11.0213893785,11.1746612996,11.364924788,11.6282755909,11.0214639825,11.0379636881,11.3037438367,11.1601030196,11.0474007325,PBC
qxh-x-bible.csv,qxh,50000,11.0328766386,11.1896831626,11.3771916637,11.6411853848,11.0329497126,11.0491135817,11.3416837148,11.1689464562,11.0518147011,PBC
qvh-x-bible.csv,qvh,50000,11.051047374,11.2011165121,11.3767161024,11.6280529573,11.0511193329,11.067034827,11.3525383097,11.1774918443,11.0748773372,PBC
byr-x-bible.csv,byr,50000,11.0473583645,11.2116957567,11.4223711535,11.7056679152,11.0474349382,11.0643715149,11.3276632903,11.2032616142,11.0781077713,PBC
sna-x-bible.csv,sna,50000,11.0556895031,11.2129288356,11.4058093705,11.6728551875,11.0557638267,11.0722020451,11.3300385317,11.1967286809,11.0801260299,PBC
uig-x-bible.csv,uig,50000,11.0605388079,11.1980709261,11.352071707,11.5800499785,11.0606085946,11.0760403829,11.324638366,11.1695803281,11.0892505633,PBC
nim-x-bible.csv,nim,50000,11.0622407863,11.2188886139,11.4112764306,11.6775280292,11.0623151537,11.0787627031,11.3376406396,11.2029341013,11.0927245458,PBC
uig-x-bible-romanized.csv,uig,50000,11.0652822207,11.203391417,11.3579463125,11.5866245739,11.0653520166,11.0807858996,11.3288205044,11.174789807,11.0939189378,PBC
quh-x-bible-chumacharazani.csv,quh,50000,11.0785595746,11.2398528802,11.4348855579,11.705887423,11.078633422,11.094967946,11.3914457337,11.2212644584,11.1052468807,PBC
kor-x-bible-new.csv,kor,50000,11.0877456813,11.232130601,11.3973524262,11.6370945203,11.0878166619,11.1035131033,11.3496877704,11.2061187089,11.1162392855,PBC
ava-x-bible.csv,ava,50000,11.0921874529,11.2170238548,11.3474136486,11.5495583158,11.0922543037,11.1070326461,11.3086043457,11.1825278569,11.1323570372,PBC
kze-x-bible.csv,kze,50000,11.1153893013,11.2627894536,11.4254497569,11.6652734647,11.1154589692,11.1308668255,11.3952940701,11.2314926274,11.1371480877,PBC
heb-x-bible.csv,heb,50000,11.1217467108,11.2706184121,11.4382143863,11.6820057279,11.1218172791,11.1374234589,11.378405537,11.2421367485,11.1444274847,PBC
agr-x-bible.csv,agr,50000,11.1131163527,11.2644262086,11.4378169977,11.6875147978,11.1131876487,11.1289558505,11.4096075543,11.2380970459,11.1459153277,PBC
auy-x-bible.csv,auy,50000,11.1333575246,11.2816377209,11.4440925026,11.6840857852,11.1334269859,11.148789143,11.4088558946,11.2493730024,11.1553849925,PBC
tel-x-bible.csv,tel,50000,11.1238496527,11.2814640859,11.4685963529,11.7309171984,11.1239227596,11.140091101,11.3752498123,11.2605446592,11.1564778938,PBC
uzb-x-bible-newworld.csv,uzb,50000,11.1263742969,11.2673833102,11.4210747964,11.6502282169,11.1264433186,11.1417059756,11.3790742721,11.2354017675,11.1595606236,PBC
arb-x-bible.csv,arb,50000,11.1382406833,11.2939219052,11.4725568762,11.727895477,11.138312308,11.1541531436,11.4024043269,11.2678223588,11.1635327749,PBC
hbo-x-bible-leningradunicode.csv,hbo,50000,11.1414760707,11.3027116684,11.4898519103,11.7543718321,11.1415483678,11.1575391906,11.4203233197,11.2780680585,11.1646000015,PBC
qug-x-bible-chimborazo.csv,qug,50000,11.1410392965,11.2865062374,11.4458560318,11.6816562186,11.1411086954,11.1564557367,11.3975325944,11.2546923996,11.171193549,PBC
taq-x-bible.csv,taq,50000,11.1512064375,11.3162507502,11.5065810771,11.7756810693,11.1512785873,11.1672382293,11.4623546065,11.2903287003,11.1745727218,PBC
wbp-x-bible.csv,wbp,50000,11.1678528846,11.3161186539,11.4835988343,11.7258458923,11.1679237457,11.1835923887,11.3893530236,11.2887187743,11.1971554186,PBC
kan-x-bible-newworld.csv,kan,50000,11.1854255008,11.3614775767,11.5653290606,11.8495998454,11.1854982821,11.2015995871,11.5251885482,11.3359905471,11.209603497,PBC
aze-x-bible-newworld.csv,aze,50000,11.1776786358,11.3212989271,11.4749558608,11.7049436893,11.1777471905,11.1929061869,11.4095201819,11.2869628192,11.2098078705,PBC
tur-x-bible-goodnews.csv,tur,50000,11.1779818227,11.3210683168,11.4723304141,11.7005304843,11.17804987,11.1930972959,11.4335448843,11.2851616197,11.2108970317,PBC
tur-x-bible-newworld.csv,tur,50000,11.1861077799,11.3316180018,11.4867962545,11.7189498049,11.1861762967,11.2013273631,11.4230865689,11.296637644,11.2115282237,PBC
tur-x-bible-2009.csv,tur,50000,11.1910668136,11.3365481816,11.4904630877,11.7218777115,11.1911350011,11.206213813,11.4489140844,11.3004536863,11.2238685296,PBC
hay-x-bible.csv,hay,50000,11.2049150438,11.3728880275,11.5668148524,11.8389345592,11.2049875206,11.2210184691,11.4959072539,11.3476025707,11.2326437461,PBC
qvn-x-bible.csv,qvn,50000,11.2147242927,11.3969943842,11.6095893758,11.9025850587,11.2147977007,11.2310380155,11.5549032737,11.3729815728,11.2395801342,PBC
sna-x-bible-newworld.csv,sna,50000,11.2129560068,11.3618277081,11.5242760707,11.7629825535,11.2130256101,11.2284163655,11.4387793391,11.3297785789,11.2484448753,PBC
qug-x-bible-chimborazo2010.csv,qug,50000,11.229914392,11.3887695429,11.5611923924,11.813121521,11.2299841088,11.2454033909,11.501050952,11.3547155584,11.2602098534,PBC
qxo-x-bible.csv,qxo,50000,11.2480117346,11.4219430487,11.6131106371,11.8868406635,11.2480824528,11.2637269209,11.589502407,11.3882930193,11.2716601559,PBC
