#type:		writing
#specification:	Tigrigna (tir)
#scriptcode:	Ethi
#source:	https://unicode.org/udhr/d/udhr_tir.html (last access: 18.09.2019)
#encoding:	utf-8
#copyright:	NA
#comments:	Full translation of the Universal Declaration of Human Rights into Tigrigna. The document starts with a preamble („መእተዊ“). Every subitem within an article has its own line.


<line_1>	መእተዊ
<line_12>	ብመንፅር ክብርን መሰልን ኩሎም ሰባት እንትውለዱ ነፃን ማዕሪን እዮም፡፡ ምስትውዓልን ሕልናን ዝተዓደሎም ብምዃኖም ንሕድሕዶም ብሕውነታዊ መንፈስ ክተሓላለዩ ኦለዎም፡፡
<line_13>	ዓንቀፅ 2
<line_14>	ሕድሕድ ሰብ ብዘርኢ፣ ብቀለም፣ ብፆታ፣ ብቋንቋ፣ ብሃይማኖት፣ ብፖለቲካ ወይ ብካልኦት ኦሪኦእያታት፣ ብብሄር ወይ ብማሕበራዊ መበቈል፣ ብሃብቲ፣ ብትውልዲ ወይ ብካልኦት ደሪጃታት ኦድልዎ እንተይተገብሪሉ ኦብዚ ድንጋገ እዚ ናይ ዝሰፈሩ ኩሎም መሰላትን ነፃነታትን ተጠኝሚ እዩ፡፡
<line_15>	ብተወሳኺ ሓደ ዜጋ፣ ሃገሩ ነፃ ግዝኦት፣ ብሞግዚት ዝመሓደር፣ ዓርሰ ምምሕዳር ዘይብሉ ወይ ኦብ ትሕቲ ዝኾነ ይኹን ሉኦላዊ ገደብ ዝርከብ እንተኾነ’ውን ብምኽንያት ናይ ሃገሩ ፖለቲካዊ፣ ሕጋዊ ስልጣን ወይ ዓለምለኻዊ ደሪጃ ኦድልዎ ኦይፍፀሞን፡፡
<line_16>	ዓንቀፅ 3
<line_17>	ሕድሕድ ሰብ ብህይወት ናይ ምንባር፣ ናይ ነፃነትን ድሕንነትን መሰል ኦለዎ፡፡
<line_18>	ዓንቀፅ 4
<line_19>	ሕድሕድ ሰብ ብባርነት ወይ ብጊልያነት ክግዛእ የብሉን፡፡ ባርነትን ናይ ባርያ ንግድን ብዝኾነ ይኹን መልክዑ ክልኩል እዩ፡፡
<line_20>	ዓንቀፅ 5
<line_21>	ሕድሕድ ሰብ ከቢድ ስቓይ ዘውርድ፣ ጭካነ ዝመልኦ፣ ኢሰብኦዊ ወይ ሰብኦዊ ክብሩ ዘዋርድ ኦተሓሕዛ ወይ መቕፃዕቲ ኦይፍፀሞን፣
<line_22>	ዓንቀፅ 6
<line_23>	ሕድሕድ ሰብ ኦብ ዝኾነ ይኹን ቦታ ኦብ ቅድሚ ሕጊ ብሰብኦዊ መንነቱ ንክፍለጥ መሰል ኦለዎ፡፡
<line_24>	ዓንቀፅ 7
<line_25>	ኩሎም ሰባት ኦብ ቅድሚ ሕጊ ማዕሪ ኦብ ልዕሊ ምዃኖም ብዘይ ኦፈላላይ ናይ ሕጊ ማዕሪ ሓለዋ ክግበሪሎም መሰል ኦለዎም፡፡ ኩሎም ሰባት ነዚ ድንጋገ’ዚ ብምጥሓስን ነዚ ድንጋገ’ዚ ንምጥሓስ ብዝግበሩ ምልዕዓላትን ካብ ዝበፅሖም ኦድልዎ ሓለዋ ናይ ምርካብ ማዕሪ መሰል ኦለዎም፡፡
<line_26>	ዓንቀፅ 8
<line_27>	ሕድሕድ ሰብ ብሕገ መንግስቲ ወይ ብሕጊ ዝተፈቐዱሉ መሰሪታዊ መሰላት እንትጠሓስዎ ስልጣን ብዘለዎ ሃገራዊ ቤት ፍርዲ ግቡእ ካሕሳ ናይ ምርካብ መሰል ኦለዎ፡፡
<line_28>	ዓንቀፅ 9
<line_29>	ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ኦይእሰርን፣ ኦይተሓዝን ወይ ኦይሕየርን፡፡
<line_30>	ዓንቀፅ 10
<line_31>	ሕድሕድ ሰብ መሰሉን ግቡእን፣ ከምኡ’ውን ንዝቐርበሉ ዝኾነ ይኹን ገበናዊ ክሲ ዝምልከቱ ጉዳያት ንምውሳን ኦብ ነፃን ዘይኦድላውን ቤት ፍርዲ ብፍትሓውን ዕላውን መንገዲ ንክራኦዩሉ ምሉእ ማዕርነት ኦለዎ፡፡
<line_32>	ዓንቀፅ 11
<line_33>	1. ብዘቕፅዕ ገበን ዝተኸሰሰ ሕድሕድ ሰብ መከላኸሊኡ ኦቕሪቡ ኦብ ዝካተዓሉ እዋን ብሕጊ ገበነኛ ምዃኑ ክሳብ ዝሪጋገፅ ከምንፁህ ሰብ ክቑፀር መሰል ኦለዎ፡፡
<line_34>	2. ሕድሕድ ሰብ ሓደ ነገር ኦብ ዝተፈፀመሉ እዋን ነቲ ጉዳይ ምፍፃም ወይ ዘይምፍፃም ገበን ምዃኑ ብሃገራዊ ወይ ብዓለምለኻዊ ሕጊ ተደንጊጉ ክሳብ ዘይፀንሐ ብሓላፍነት ኦይሕተትን፡፡ ከምኡ’ውን ነቲ ገበን ኦብ ዝፈፀመሉ እዋን ነቲ ገበን ተወሲኑ ካብ ዝነበሪ መቕፃዕቲ ንላዕሊ ዝኸብድ መቕፃዕቲ ክውሰኖ ኦይግባእን፡፡
<line_35>	ዓንቀፅ 12
<line_36>	ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ኦብ ልዕሊ ውልቀ ህይወቱ ፣ ቤተሰቡ፣ ገዝኡ ወይ ኦብ ርክባቱ ጣልኝ ዝኦትዎ ኦይህልውን፡፡ ኦብ ልዕሊ ክብሩን ዝንኡን በደል ኦይፍፀሞን፡፡ ዝኾነ ይኹን ሰብ ከምዚኦም ካብ ዝኦመሰሉ ኢድ ኦእታውነት ወይ ከዓ በደል ዝከላኸለሉ ውሕስነት ሕጊ ናይ ምርካብ መሰል ኦለዎ፡፡
<line_37>	ዓንቀፅ 13
<line_38>	1. ሕድሕድ ሰብ ኦብ ውሽጢ ዝነብሪሉ ሃገር ናይ ምዝውዋርን ምንባርን መሰል ኦለዎ፡፡
<line_39>	2. ሕድሕድ ሰብ ካብ ዝኾነት ትኹን ሃገር እንኮላይ ካብ ሃገሩ ናይ ምውፃእን እንደገና ናብ ሃገሩ ናይ ምምላስን መሰል ኦለዎ፡፡
<line_40>	ዓንቀፅ 14
<line_41>	1. ሕድሕድ ሰብ ካብ ንህይወቱ ሓደገኛ ዝኾኑ ግፍዕታት ኦምሊጡ ኦብ ካልኦት ሃገራት ዑቕባ ናይ ምሕታትን ናይ ምርካብን መሰል ኦለዎ፡፡
<line_42>	2. እዚ መሰል እዚ ብጭቡጥ ፖለቲካዊ ኦብ ዘይኮኑ ገበናት ወይ ንዕላማታትን መምርሕታትን ውድብ ሕቡራት መንግስታት ኦብ ዝፃሪሩ ተግባራት ኦየገልግልን፡፡
<line_43>	ዓንቀፅ 15
<line_44>	1. ሕድሕድ ሰብ ዜግነት ናይ ምርካብ መሰል ኦለዎ፡፡
<line_45>	2. ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ዜግነቱ ክቕንጠጥ ወይ ዜግነቱ ናይ ምልዋጥ መሰሉ ክኽልከል ኦይኽእልን፡፡
<line_46>	ዓንቀፅ 16
<line_47>	1. ንዓቕመ ኦዳምን ሄዋንን ዝበፅሑ ደቂ ተባዕትዮን ደቂ ኦንስትዮን ዘርኢ፣ ዜግነት ወይ ሃይማኖት እንተይገደቦም ናይ ምምርዓውን ቤተሰብ ናይ ምምስራትን መሰል ኦለዎም፡፡ ኦብ ኦመሰራርታ ሓዳር ፣ ኦብ እዋን ሓዳርን ኦብ እዋን ፍትሕን ማዕሪ መሰል ኦለዎም፡፡
<line_48>	2. መርዓ ብነፃን ምሉእ ፍታውን ተመራዓውቲ ጥራይ ይፍፀም
<line_49>	3. ቤተሰብ ተፈጥሮኦውን መሰሪታውን ጉጅለ ሕብሪተሰብ እዩ፡፡ ስለዝኾነ ካብ ሕብሪተሰብን ካብ መንግስትን ሓለዋ ናይ ምርካብ መሰል ኦለዎ፡፡
<line_50>	ዓንቀፅ 17
<line_51>	1. ሕድሕድ ሰብ ብውልቁ ይኹን ምስ ካልኦት ብሓባር ንብሪት ናይ ምውናን መሰል ኦለዎ፡፡
<line_52>	2. ሕድሕድ ሰብ ብሕጊ ካብ ዝተደንገገ ስርዓት ወፃኢ ንብሪቱ ኦይውሪስን፡፡
<line_53>	ዓንቀፅ 18
<line_54>	ሕድሕድ ሰብ ናይ ኦተሐሳስባ ፣ ሕልናን ሃይማኖትን ነፃነት ኦለዎ፡፡ እዚ መሰል እዚ ሕድሕድ ሰብ ሃይማኖቱ ወይ እምነቱ ንምልዋጥ ፣ ከምኡ’ውን ንብሕቱ ወይ ምስ ካልኦት ብሓባር ኮይኑ ብዕሊ ወይ ብውልቀ ብዛዕባ ሃይማኖቱ ወይ እምነቱ ክሰብኽ ፣ ክትግብር፣ ከምልኽ ወይ ከብዕል ንዘለዎ ነፃነቱ የጠቓልል፡፡
<line_55>	ዓንቀፅ 19
<line_56>	ሕድሕድ ሰብ ናይ ምሕሳብን ሓሳቡ ናይ ምግላፅን ነፃነት ኦለዎ፡፡ እዚ መሰል እዚ ብዘይ ኢድ ኦእታውነት ባዕላዊ ኦተሓሳስባ ናይ ምሓዝ ፣ ብዘይ ናይ ዶብ ማዕገቲ ካብ ዝኾነ ይኹን ሜላ መራኸቢ ሓበዌታን ሓሳብን ናይ ምንዳይ፣ ምቕባልን ምትሕልላፍን ነፃነት’ውን የጠቓልል፡፡
<line_57>	ዓንቀፅ 20
<line_58>	1. ሕድሕድ ሰብ ብሰላም ናይ ምእካብን ምውዳብን ነፃነት መሰል ኦለዎ፡፡
<line_59>	2. ሕድሕድ ሰብ ብማሕበር ንኽውደብ ኦይግደድን፡፡
<line_60>	ዓንቀፅ 21
<line_61>	1. ሕድሕድ ሰብ ብቀጥታ ወይ ብነፃ መሪፃ ብዝተመሪፁ ወከልቱ ኦቢሉ ኦብ መንግስቲ ሃገሩ ናይ ምስታፍ መሰል ኦለዎ፡፡
<line_62>	2. ሕድሕድ ሰብ ብህዝባዊ ኦገልግሎታት ሃገሩ ብማዕሪ ናይ ምጥኝም መሰል ኦለዎ፡፡
<line_63>	3. ድልየት ህዝቢ መሰሪት ስልጣን መንግስቲ ክኸውን ኦለዎ፡፡ እዚ ድልየት እዚ ብምስጢር ወይ ብተመሳሳሊ መንገዲ በብጊዜኡ ብዝካየድ፣ ኩሉ ብማዕሪ ዝሳተፈሉን ኦጠቓላልን ብዝኾነ ትኽክለኛን ነፃን ናይ ምድማፅ ስርዓት ክግለፅ ኦለዎ፡፡
<line_64>	ዓንቀፅ 22
<line_65>	ሕድሕድ ሰብ ኦባል ሕብሪተሰብ ከም ምዃኑ መጠን መሰል ማሕበራዊ ውሕስነት ኦለዎ፡፡ ከምኡ’ውን ብሃገራዊ ፃዕርን ብዓለም ለኻዊ ምትሕብባርን ምስ ውዳበን ሃብትን ሕድሕድ መንግስቲ ብዝሰማማዕ መልክዑ ንክብሩን ንነፃ ዕቤት ሰብኦዊ መንነቱን ኦድለይቲ ዝኾኑ ቁጠባዊ፣ ማሕበራውን ባህላውን መሰላቱ ክሪጋገፁሉ መሰል ኦለዎ፡፡
<line_66>	ዓንቀፅ 23
<line_67>	1. ሕድሕድ ሰብ ንስራሕ ፣ ንነፃ መሪፃ ዓይነት ስራሕ፣ ንፍትሓውን ምቹእን ኩነታት ስራሕን ስራሕ ከይስእን ንዝግበር ሓለዋን መሰል ኦለዎ፡፡
<line_68>	2. ሕድሕድ ሰብ ብዘይ ኦድልዎ ንሓደ ዓይነት ስራሕ ማዕሪ ክፍሊት ናይ ምርካብ መሰል ኦለዎ፡፡
<line_69>	3. ሕድሕድ ኦብ ስራሕ ዝርከብ ሰብ ሰብኦዊ ክብሩን ክብሪ ቤተሰቡን ዝሕለወሉ ኦድላዪ እንተኾይኑ’ውን ብካልኦት ማሕበራዊ ውሕስነታት ዝድገፍ ፍትሓውን ዘተባብዕን ፃማ ሪሃፁ ናይ ምርካብ መሰል ኦለዎ፡፡
<line_70>	4. ሕድሕድ ሰብ ሪብሓታቱ ንምርግጋፅ ማሕበራዊ ሞያ ናይ ምጥያሽን ኦባል ናይ ምዃንን መሰል ኦለዎ፡፡
<line_71>	ዓንቀፅ 24
<line_72>	ሕድሕድ ሰብ ናይ ስራሕ ሰዓት ዕሪፍቲ፣ ናይ መዘናግዒ ጊዜ፣ ከምኡ’ውን ፍትሓዊ መጠን ሰዓታት ስራሕን መሃያ ዝኽፈለሎም ህዝባዊ ብዓላትን ክህልዉዎ መሰል ኦለዎ፡፡
<line_73>	ዓንቀፅ 25
<line_74>	1. ሕድሕድ ሰብ ንጥዕናን ድሕነትን ዓርሱን ቤተሰቡን ዝበቅዕ ደሪጃ መነባብሮ እንኮላይ ምግቢ፣ ክዳን ፣ መንበሪ ገዛ፣ ሕክምናን ኦድለይቲ ማሕበራዊ ኦገልግሎታትን ናይ ምርካብ መሰል ኦለዎ፡፡ ከምኡ’ውን ስራሕ እንትስእን ፣ እንትሓምም፣ ኦካለ ጉዱእ እንትኸውን ካብ ሰብ ሓዳር ሓዲኦም እንትመውት፣ እንትሽምግል ወይ ካልኦት ልዕሊ ቁፅፅሩ ዝኾኑ ፀገማት መነባብሮ እንተጋጥምዎ ድሕነቱ ንክሕለወሉ መሰል ኦለዎ፡፡
<line_75>	2. ኦዴታትን ህፃናትን ፍሉይ ክንክንን ሓገዝን ናይ ምርካብ መሰል ኦለዎም፡፡ ብሕጋዊ ወይ ብዘይሕጋዊ መርዓ ዝውለዱ ኩሎም ህፃናት ብማዕሪ ማሕበራዊ ሓለዋ ናይ ምርካብ መሰል ኦለዎም፡፡
<line_76>	ዓንቀፅ 26
<line_77>	1. ሕድሕድ ሰብ ዕድል ትምህርቲ ናይ ምርካብ መሰል ኦለዎ፡፡ ትምህርቲ እንተውሓደ ኦብ ቀዳማይን መሰሪታውን ብርክታት ብነፃ ክወሃብ ኦለዎ፡፡ ትምህርቲ ቀዳማይ ብርኪ ግድነታዊ ክኸውን ኦለዎ፡፡ ቴክኒካውን ሞያውን ትምህርቲ ብሓፈሻ ክማላእ ኦለዎ፡፡ ዕድል ላዕለዋይ ብርኪ ትምህርቲ ድማ ኦብ ብቕዓት ተመስሪቱ ብማዕሪ ክወሃብ ኦለዎ፡፡  
<line_78>	2. ትምህርቲ ኦብ ምሉእ ምዕባለ ሰብኦዊ ፍጡርን ኦብ ምጥንኻርን ምኽባርን ሰብኦዊ መሰላትን መሰሪታዊ ነፃነታትን ዘተኮሪ ክኸውን ኦለዎ፡፡ ትምህርቲ ኦብ መንጎ ኩሎም መንግስታት ፣ ዘርኦዊ ወይ ሃይማኖታዊ ጉጅለታት፣ ምርድዳእ፣ ምክእኦልን ምሕዝነትን ዘማዕብል ክኸውን ኦለዎ፡፡ ብተወሳኺ ውድብ ሕቡራት መንግስታት ሰላም ንምዕኝብ ንዘካይዶም ተግባራት ክሕግዝ ኦለዎ፡፡
<line_79>	ዓንቀፅ 27
<line_80>	1. ሕድሕድ ሰብ ኦብ ባህላዊ ህይወት ሕብሪተሰብ ብነፃ ንክሳተፍ፣ ካብ ኪነት ተጠኝሚ ክኸውን፣ ኦብ ሳይንሳዊ ምዕባለ ብፅሒቱ ንከበርክትን ካብ ውፅኢቱ ንክጥቀምን መሰል ኦለዎ፡፡
<line_81>	2. ሕድሕድ ሰብ ባዕሉ ካብ ዝፈጠሮ ሳይንሳዊ፣ ስነ ፅሑፋዊ ወይ ኪነታዊ ውፅኢታት ሞራላውን ንዋታውን ሪብሓታቱ ንክሕለዉሉ መሰል ኦለዎ፡፡
<line_82>	ዓንቀፅ 28
<line_83>	ዝኾነ ይኹን ሰብ ኦብዚ ድንጋገ እዚ ዝሰፈሩ መሰላትን ነፃነታትን ዝሪጋገፀሉ ማሕበራውን ዓለም ለኻውን ስርዓት ናይ ምርካብ መሰል ኦለዎ፡፡
<line_84>	ዓንቀፅ 29
<line_85>	1. ዝኾነ ይኹን ሰብ ነቲ ብሕታዊ መሪጋገፂ ነፃን ዝተማልኣን ምዕባለ ሰብኦዊ መንነቱ ዝኾነ ሕብሪተሰብ ዝፍፅሞም ግቡኦት ኦለዉዎ፡፡
<line_86>	2. ዝኾነ ይኹን ሰብ ኦብ ኦጠቓቕማ መሰላቱን ነፃነታቱን ንመሰላትን ነፃነታትን ካልኦት ንምቕባልን ንምኽባርን፣ ኦብ ሓደ ዲሞክራሲያዊ ሕብሪተሰብ ዘድልዩ ስነ ምግባር፣ ፀጥታን ድሕነትን ንምምላእን ተባሂሉ ብሕጊ ንዝተወሰኑሉ ማዕቀባት ጥራሕ ተገዛኢ ይኸውን፡፡
<line_87>	3. እዞም መሰላትን ነፃነታትን እዚኦቶም ብዝኾነ ይኹን መንገዲ ኦንፃር ዕላማታትን መምርሕታትን ውድብ ሕቡራት መንግስታት ክትግበሩ ኦይኽእሉን፡፡
<line_88>	ዓንቀፅ 30
<line_89>	ካብ ውሽጢ እዚ ድንጋገ እዚ ዝኾነ ይኹን መንግስቲ፣ ጉጅለ ወይ ውልቀ ሰብ፣ ኦብዚ ድንጋገ እዚ ካብ ዝሰፈሩ መሰላትን ነፃነታትን ንገሊኦም ንምጥሓስ ኦብ ዝዓለመ ምንቅስቓስ ንክሳተፍ ወይ ዝኾነ ይኹን ተግባር ንክፍፅም መሰል ከም ዘለዎ ዝሕብር ተገይሩ ዝትርጎም ውሳነ የለን፡፡
